"","position","lizard_id","trt","sex","current_enclosure","clutch","hatch_date","test_date","age","notes","day","test_type","pos_high_lat","pos_high_risk","choice","lat_high","lat_low","time_high","time_low","compared_interest","ratio_interest","side_choice","temp","cort"
"101","B2",3035,"A_23","m","E1017_23","CL832_24","24/1/2024","18/5/2024",115,"",2,"2 VS 4","Left","Far",0,1317,901,79,50,29,0.224806202,"Right","Cold","Control"
"102","B3",2898,"A_23","f","E425_23","CL800_24","19/1/2024","18/5/2024",120,"",2,"1 VS 3","Right","Close",1,637,798,214,89,125,0.412541254,"Right","Cold","Control"
"103","B3",2915,"B_23","m","E247_23","CL804_24","22/1/2024","18/5/2024",117,"",2,"2 VS 3","Left","Close",0,749,320,290,258,32,0.058394161,"Right","Cold","CORT"
"104","B3",3182,"A_28","m","E802_23","CL870_24","17/1/2024","18/5/2024",122,"",2,"2 VS 4","Right","Far",0,686,530,104,124,-20,-0.087719298,"Left","Hot","Control"
"105","B3",3208,"B_28","f","E200_23","CL875_24","19/1/2024","18/5/2024",120,"",2,"2 VS 4","Right","Close",1,209,963,98,148,-50,-0.203252033,"Right","Hot","CORT"
"106","B4",2976,"A_23","m","E722_23","CL819_24","22/1/2024","18/5/2024",117,"Might be two clutches.",2,"1 VS 4","Left","Far",0,500,97,149,209,-60,-0.167597765,"Right","Cold","Control"
"107","B4",3183,"B_28","m","E151_23","CL870_24","17/1/2024","18/5/2024",122,"",2,"1 VS 3","Right","Far",0,803,535,96,70,26,0.156626506,"Left","Hot","CORT"
"108","B4",3205,"B_28","f","E772_23","CL875_24","17/1/2024","18/5/2024",122,"",2,"1 VS 4","Right","Close",1,992,1332,142,107,35,0.140562249,"Right","Hot","CORT"
"109","C1",2880,"B_23","m","E427_23","CL796_24","19/1/2024","18/5/2024",120,"",2,"2 VS 4","Left","Far",0,481,276,19,119,-100,-0.724637681,"Right","Cold","CORT"
"110","C1",2991,"A_23","f","E976_23","CL821_24","24/1/2024","18/5/2024",115,"",2,"3 VS 4","Right","Close",1,332,366,71,35,36,0.339622642,"Right","Cold","Control"
"111","C1",3076,"B_28","f","E0143_23","CL845_24","12/1/2024","18/5/2024",127,"",2,"3 VS 4","Left","Close",0,2597,1760,154,144,10,0.033557047,"Right","Hot","CORT"
