rack,camera,day,lizard_id,test,measure_small,measure_big,diff_measure
B,1,3,2942,1 VS 4,0.82,2.31,1.49
B,1,3,2978,1 VS 4,0.87,2,1.13
B,1,3,3110,1 VS 3,0.74,1.56,0.82
B,2,3,2811,3 VS 4,1.73,1.96,0.23
B,2,3,2973,3 VS 4,1.38,2.12,0.74
B,2,3,3003,1 VS 4,0.87,2.13,1.26
B,2,3,3035,2 VS 3,1.93,1.6,-0.33
B,3,3,2898,2 VS 4,1.86,1.76,-0.1
B,3,3,2915,3 VS 4,1.75,2.17,0.42
B,3,3,3182,2 VS 3,1.93,1.86,-0.07
B,3,3,3208,2 VS 3,1.63,1.45,-0.18
B,4,3,2976,1 VS 3,0.65,1.47,0.82
B,4,3,3183,2 VS 4,1.83,1.96,0.13
B,4,3,3205,1 VS 3,0.78,1.61,0.83
B,1,4,2942,1 VS 3,0.78,1.37,0.59
B,1,4,2978,1 VS 3,0.65,1.63,0.98
B,1,4,3110,2 VS 4,1.61,1.78,0.17
B,2,4,2811,1 VS 4,0.64,2.37,1.73
B,2,4,2973,1 VS 4,0.76,1.49,0.73
B,2,4,3003,1 VS 3,0.74,1.7,0.96
B,2,4,3035,3 VS 4,2.06,2.08,0.02
B,3,4,2898,2 VS 3,1.48,1.44,-0.04
B,3,4,2915,1 VS 4,0.8,1.48,0.68
B,3,4,3182,3 VS 4,1.17,1.55,0.38
B,3,4,3208,3 VS 4,1.23,1.34,0.11
B,4,4,2976,2 VS 4,1.68,1.61,-0.07
B,4,4,3183,2 VS 3,1.86,1.78,-0.08
B,4,4,3205,2 VS 4,1.88,1.75,-0.13
B,1,5,2942,2 VS 4,1.51,1.59,0.08
B,1,5,2978,2 VS 4,1.8,2.07,0.27
B,1,5,3110,2 VS 3,1.7,1.77,0.07
B,2,5,2811,1 VS 3,0.72,1.29,0.57
B,2,5,2973,1 VS 3,0.85,1.22,0.37
B,2,5,3003,2 VS 4,1.74,1.81,0.07
B,2,5,3035,1 VS 4,0.84,1.57,0.73
B,3,5,2898,3 VS 4,1.4,1.69,0.29
B,3,5,2915,1 VS 3,0.61,1.24,0.63
B,3,5,3182,1 VS 4,0.81,1.45,0.64
B,3,5,3208,1 VS 4,0.69,1.71,1.02
B,4,5,2976,2 VS 3,1.39,1.21,-0.18
B,4,5,3183,3 VS 4,1.93,1.77,-0.16
B,4,5,3205,2 VS 3,1.59,1.15,-0.44
C,1,1,2880,1 VS 3,0.74,1.88,1.14
C,1,1,2991,2 VS 3,1.6,1.8,0.2
C,1,1,3076,2 VS 3,1.97,1.24,-0.73
C,2,1,2831,1 VS 4,0.73,2.25,1.52
C,2,1,3150,1 VS 4,0.58,2.19,1.61
C,2,1,3161,2 VS 4,1.74,2.01,0.27
