position,lizard_id,trt,sex,current_enclosure,clutch,hatch_date,test_date,age,notes,day,test_type,pos_high_lat,pos_high_risk,choice,lat_high,lat_low,latency,time_high,time_low,compared_interest,ratio_interest,side_choice
C4,2941,A_23,m,E045_23,CL810_24,22/1/2024,18/5/2024,117,,1,1 VS 3,Left,Close,1,611,956,611,123,188,-65,-0.209003215,Left
C4,3126,A_28,f,E817_23,CL858_24,15/1/2024,18/5/2024,124,,1,2 VS 3,Right,Far,1,414,1373,414,199,140,59,0.174041298,Right
E1,2869,B_23,f,E411_23,CL793_24,19/1/2024,18/5/2024,120,,1,2 VS 3,Left,Far,NA,6572,6572,6572,NA,NA,NA,NA,Right
E1,3019,A_28,f,E074_23,CL828_24,8/1/2024,18/5/2024,131,,1,2 VS 4,Right,Far,1,1352,1501,1352,188,20,168,0.807692308,Right
E1,3168,A_28,f,E534_23,CL867_24,15/1/2024,18/5/2024,124,"Likely multiple clutches, but delineation unclear.",1,1 VS 3,Right,Close,0,2891,2123,2123,288,259,29,0.053016453,Left
E2,2897,B_23,f,E473_23,CL800_24,22/1/2024,18/5/2024,117,,1,2 VS 4,Right,Close,1,44,2089,44,261,24,237,0.831578947,Right
E2,3022,A_23,f,E478_23,CL829_24,22/1/2024,18/5/2024,117,,1,1 VS 4,Left,Close,0,3539,3379,3379,124,153,-29,-0.104693141,Right
E2,3119,B_28,m,E713_23,CL855_24,15/1/2024,18/5/2024,124,,1,1 VS 4,Right,Close,0,1474,824,824,144,238,-94,-0.246073298,Left
E2,3121,A_28,f,E377_23,CL856_24,15/1/2024,18/5/2024,124,,1,1 VS 4,Left,Close,1,737,2237,737,300,107,193,0.474201474,Left
E3,2812,B_23,m,E278_23,CL772_24,17/1/2024,18/5/2024,122,,1,1 VS 3,Right,Far,1,185,2107,185,291,215,76,0.150197628,Right
E3,2844,A_23,m,E1728_23,CL784_24,15/1/2024,18/5/2024,124,,1,3 VS 4,Left,Far,1,8,97,8,75,112,-37,-0.197860963,Left
E3,3002,B_28,f,E787_23,CL824_24,8/1/2024,18/5/2024,131,,1,3 VS 4,Left,Close,NA,6064,6064,6064,NA,NA,NA,NA,Right
E3,3075,A_28,m,E827_23,CL845_24,15/1/2024,18/5/2024,124,,1,3 VS 4,Left,Far,0,691,68,68,133,244,-111,-0.294429708,Right
E4,2934,B_23,f,E159_23,CL809_24,24/1/2024,18/5/2024,115,Might be three clutches.,1,1 VS 4,Right,Far,1,450,764,450,272,296,-24,-0.042253521,Right
E4,2943,A_23,m,E323_23,CL811_24,26/1/2024,18/5/2024,113,,1,2 VS 3,Right,Far,1,710,1356,710,219,110,109,0.331306991,Right
E4,3077,B_28,m,E689_23,CL845_24,15/1/2024,18/5/2024,124,,1,2 VS 3,Right,Close,1,432,1797,432,182,52,130,0.555555556,Right
F1,2813,A_23,m,E778_23,CL773_24,15/1/2024,18/5/2024,124,,1,2 VS 4,Right,Far,0,2424,1906,1906,74,108,-34,-0.186813187,Left
F1,2859,B_23,f,E1027_23,CL789_24,19/1/2024,18/5/2024,120,,1,3 VS 4,Left,Far,1,717,921,717,107,115,-8,-0.036036036,Left
F1,3117,A_28,f,E669_23,CL855_24,15/1/2024,18/5/2024,124,,1,2 VS 3,Right,Close,1,277,2739,277,274,223,51,0.102615694,Right
F2,2933,A_23,f,E736_23,CL809_24,26/1/2024,18/5/2024,113,Might be three clutches.,1,1 VS 3,Right,Far,1,244,1389,244,263,182,81,0.182022472,Right
F2,2947,B_23,m,E359_23,CL812_24,22/1/2024,18/5/2024,117,,1,2 VS 3,Right,Close,1,1183,1668,1183,173,275,-102,-0.227678571,Right
F2,3059,B_28,f,E176_23,CL840_24,10/1/2024,18/5/2024,129,,1,2 VS 4,Right,Far,0,3198,1544,1544,163,300,-137,-0.295896328,Left
F3,2977,B_23,f,E612_23,CL819_24,24/1/2024,18/5/2024,115,Might be two clutches.,1,2 VS 4,Right,Close,1,90,1607,90,285,184,101,0.215351812,Right
F3,2988,B_28,f,E064_23,CL821_24,10/1/2024,18/5/2024,129,,1,1 VS 3,Left,Far,1,211,622,211,266,68,198,0.592814371,Left
F3,3172,A_28,f,E774_23,CL868_24,15/1/2024,18/5/2024,124,"Likely multiple clutches, but delineation unclear.",1,2 VS 4,Left,Close,1,150,2704,150,297,141,156,0.356164384,Left
F4,2935,A_23,m,E539_23,CL809_24,26/1/2024,18/5/2024,113,Might be three clutches.,1,1 VS 4,Right,Far,1,74,424,74,242,93,149,0.444776119,Right
F4,2998,B_28,m,E167_23,CL823_24,8/1/2024,18/5/2024,131,,1,1 VS 4,Left,Far,0,3323,2354,2354,132,129,3,0.011494253,Right
F4,3134,A_28,f,E777_23,CL860_24,12/1/2024,18/5/2024,127,,1,1 VS 3,Left,Close,1,2021,2321,2021,196,135,61,0.18429003,Left
G1,2799,A_23,f,E631_23,CL769_24,15/1/2024,18/5/2024,124,,1,3 VS 4,Right,Far,1,547,835,547,138,296,-158,-0.3640553,Right
G1,2866,B_23,f,E644_23,CL792_24,17/1/2024,18/5/2024,122,,1,1 VS 3,Right,Close,1,2981,3961,2981,98,130,-32,-0.140350877,Right
G1,3128,B_28,f,E848_23,CL858_24,15/1/2024,18/5/2024,124,,1,3 VS 4,Left,Close,NA,6193,6193,6193,NA,NA,NA,NA,Right
G1,3209,A_28,m,E408_23,CL875_24,15/1/2024,18/5/2024,124,,1,1 VS 4,Left,Far,0,430,44,44,300,170,130,0.276595745,Right
G2,2826,A_23,m,E502_23,CL779_24,15/1/2024,18/5/2024,124,,1,2 VS 3,Left,Close,1,683,3714,683,160,146,14,0.045751634,Left
